pref_code,facility_code,map_type,map_name,standard_name,standard_address,in_equipment_master,CT_confirmed_detail,MRI_confirmed_detail,CT_detail_classes,MRI_detail_classes,standard_latest_start_date,detail_status
13,2925972,無床診療所,医療法人社団 実穂会 渡辺医院,医療法人社団　実穂会　渡辺医院,八王子市長房町３７３番地２　渡辺ビル１階,False,False,False,,,平成28年10月 1日,装置種別未確定
13,2926350,無床診療所,医療法人社団 イロハ会 クリニック田島,医療法人社団　イロハ会　クリニック田島,八王子市元八王子町三丁目２２６３番地５,False,False,False,,,平成27年 9月 1日,装置種別未確定
13,2926376,無床診療所,大生医院,大生医院,八王子市万町８２番地,False,False,False,,,平成25年 6月 1日,装置種別未確定
13,2926970,無床診療所,医療法人社団 積心会 澤渡循環器クリニック,医療法人社団　積心会　澤渡循環器クリニック,八王子市打越町１１９７番地１　ステップコートはけしたビルＦＭ１－２,False,False,False,,,平成24年 4月 1日,装置種別未確定
13,2926988,有床診療所,医療法人社団 恵優会 弐番街メディカルクリニック,医療法人社団　恵優会　弐番街メディカルクリニック,八王子市上柚木三丁目６番１号,True,False,False,,,平成29年 5月 1日,装置種別未確定
13,2927804,無床診療所,医療法人社団 幸山会 みなみ野セントラルクリニック,医療法人社団　幸山会　みなみ野セントラルクリニック,八王子市みなみ野四丁目１５番７号,False,False,False,,,平成26年12月 1日,装置種別未確定
13,2927812,有床診療所,医療法人社団 斗南堂 八王子クリニック新町,医療法人社団　斗南堂　八王子クリニック新町,八王子市新町７番１０号　シルバーヒルズ八王子１階２階,True,False,False,,,平成30年 4月 1日,装置種別未確定
13,2928109,無床診療所,医療法人社団 めぐみ会 南大沢メディカルプラザ,医療法人社団　めぐみ会　南大沢メディカルプラザ,八王子市南大沢２番地２５　南大沢フォレストモール３階,False,False,False,,,令和 4年 9月 1日,装置種別未確定
13,2928315,有床診療所,八王子スポーツ整形外科,八王子スポーツ整形外科,八王子市中町５番１号　八王子中町ビル４階,True,False,False,,,令和 6年 1月 1日,装置種別未確定
13,2928620,無床診療所,医療法人社団 国立あおやぎ会 八王子診療所,医療法人社団　国立あおやぎ会　八王子診療所,八王子市明神町四丁目３０番２号　４階５階６階,False,False,False,,,令和 3年11月 1日,装置種別未確定
13,2928935,無床診療所,医療法人社団 ＫＮＩ 北原ライフサポートクリニック,医療法人社団　ＫＮＩ　北原ライフサポートクリニック,八王子市子安町四丁目７番１号　サザンスカイタワー八王子１階,False,False,False,,,平成24年 4月 1日,装置種別未確定
13,2929149,無床診療所,医療法人社団 おなか会 おなかクリニック,医療法人社団　おなか会　おなかクリニック,八王子市旭町１２番１２号,False,False,False,,,令和 4年 4月 1日,装置種別未確定
13,2929180,無床診療所,医療法人社団 順友会 別所メディカルクリニック,医療法人社団　順友会　別所メディカルクリニック,八王子市別所一丁目２６番１６号,False,False,False,,,平成24年 4月 1日,装置種別未確定
13,2929792,無床診療所,医療法人社団 健稜会 みなみ野シティクリニック,医療法人社団　健稜会　みなみ野シティクリニック,八王子市みなみ野五丁目１５番１号　１階,False,False,False,,,平成27年 7月 1日,装置種別未確定
13,2930170,無床診療所,医療法人社団 志泉会 富士森内科みなみのクリニック,医療法人社団　志泉会　富士森内科みなみのクリニック,八王子市西片倉三丁目１番２１号　第一みなみ野クリニックセンター２階,False,False,False,,,平成29年11月 1日,装置種別未確定
13,2930212,有床診療所,八王子脊椎外科クリニック,八王子脊椎外科クリニック,八王子市万町１７３番地１,True,False,False,,,令和 8年 3月 1日,装置種別未確定
13,2930337,無床診療所,菅原脳神経外科クリニック,菅原脳神経外科クリニック,八王子市万町１７５番地１－Ｄ棟,False,False,False,,,平成31年 4月 1日,装置種別未確定
13,2930493,無床診療所,いずみクリニック,いずみクリニック,八王子市子安町一丁目１１番９号　１階,False,False,False,,,令和 2年 4月 1日,装置種別未確定
13,2930543,無床診療所,みぎたクリニック,みぎたクリニック,八王子市本町１３番８号,False,False,False,,,令和 4年 8月 1日,装置種別未確定
13,2930675,有床診療所,医療法人社団 ＪＳＩ 八王子ひがし整形外科,医療法人社団　ＪＳＩ　八王子ひがし整形外科,八王子市高倉町３６番地１,True,False,False,,,令和 3年 6月 1日,装置種別未確定
13,2930691,無床診療所,社会医療法人社団 愛有会 三愛クリニック,社会医療法人社団　愛有会　三愛クリニック,八王子市宮下町３７７番地,False,False,False,,,令和 3年10月 1日,装置種別未確定
13,2930840,無床診療所,医療法人社団 清泉会 富士森内科八王子リウマチ膠原病クリニック,医療法人社団　清泉会　富士森内科八王子リウマチ膠原病クリニック,八王子市東町１番６号　橋完ＬＫビル１階,False,False,False,,,令和 4年10月 1日,装置種別未確定
13,2931012,無床診療所,医療法人社団 賢秀会 あかつきクリニック,医療法人社団　賢秀会　あかつきクリニック,八王子市暁町一丁目２２番６号,False,False,False,,,令和 6年 5月 1日,装置種別未確定
13,2931152,無床診療所,翔整形外科クリニック 八王子院,翔整形外科クリニック　八王子院,八王子市万町１７５番地１　八王子クリニックビレッジＡ棟・Ｂ棟,False,False,False,,,令和 7年 4月 1日,装置種別未確定
13,2970051,病院,東京医科大学八王子医療センター,東京医科大学八王子医療センター,八王子市館町１１６３番地,True,False,False,,,令和 7年 4月 1日,装置種別未確定
13,2970093,病院,医療法人社団 青雲会 北野台病院,医療法人社団　青雲会　北野台病院,八王子市打越町１０６８番地,True,False,False,,,平成26年 4月 1日,装置種別未確定
13,2970127,病院,医療法人社団 永生会 永生病院,医療法人社団　永生会　永生病院,八王子市椚田町５８３番地１５,True,False,False,,,令和 7年 4月 1日,装置種別未確定
13,2970135,病院,八王子保健生活協同組合 城山病院,八王子保健生活協同組合　城山病院,八王子市元八王子町三丁目２８７２番地１,True,False,False,,,令和 3年12月 1日,装置種別未確定
13,2970143,病院,医療法人 永寿会 陵北病院,医療法人　永寿会　陵北病院,八王子市西寺方町３１５番地,True,False,False,,,令和 7年 1月 1日,装置種別未確定
13,2970150,病院,医療法人 永寿会 恩方病院,医療法人　永寿会　恩方病院,八王子市西寺方町１０５番地,True,False,False,,,令和 7年 1月 1日,装置種別未確定
13,2970986,病院,医療法人社団 清智会 清智会記念病院,医療法人社団　清智会　清智会記念病院,八王子市子安町三丁目２４番１５号,True,False,False,,,令和 3年10月 1日,装置種別未確定
13,2971018,病院,医療法人財団 敬寿会 相武病院,医療法人財団　敬寿会　相武病院,八王子市戸吹町３２３番地１,True,False,False,,,令和 7年10月 1日,装置種別未確定
13,2971042,病院,医療法人社団 ＫＮＩ 北原国際病院,医療法人社団　ＫＮＩ　北原国際病院,八王子市大和田町一丁目７番２３号,True,False,False,,,平成29年10月 1日,装置種別未確定
13,2971067,病院,医療法人社団 親和会 野猿峠脳神経外科病院,医療法人社団　親和会　野猿峠脳神経外科病院,八王子市下柚木１９７４番地１,True,False,False,,,令和 8年 6月 1日,装置種別未確定
13,2971083,病院,東海大学医学部付属八王子病院,東海大学医学部付属八王子病院,八王子市石川町１８３８番地,True,False,False,,,令和 8年 6月 1日,装置種別未確定
13,2971091,病院,医療法人財団 中山会 八王子消化器病院,医療法人財団　中山会　八王子消化器病院,八王子市万町１７７番地３,True,False,False,,,令和 5年 7月 1日,装置種別未確定
13,2971125,病院,医療法人社団 ＫＮＩ 北原リハビリテーション病院,医療法人社団　ＫＮＩ　北原リハビリテーション病院,八王子市左入町４６１番地,True,False,False,,,平成30年 3月 1日,装置種別未確定
13,2971133,病院,医療法人社団 純正会 八王子北部病院,医療法人社団　純正会　八王子北部病院,八王子市川口町１５４０番地１９,True,False,False,,,平成24年 4月 1日,装置種別未確定
13,2971141,病院,医療法人社団 八九十会 高月整形外科病院,医療法人社団　八九十会　高月整形外科病院,八王子市高月町３６０番地,True,False,False,,,令和 7年 3月 1日,装置種別未確定
13,2971158,病院,医療法人社団 永生会 南多摩病院,医療法人社団　永生会　南多摩病院,八王子市散田町三丁目１０番１号,True,False,False,,,令和 7年 4月 1日,装置種別未確定
13,2971208,病院,右田病院,右田病院,八王子市暁町一丁目４８番１８号,True,False,False,,,令和 2年 6月 1日,装置種別未確定
13,2971224,病院,みなみ野循環器病院,みなみ野循環器病院,八王子市兵衛一丁目２５番１号,True,False,False,,,令和 6年 2月 1日,装置種別未確定
13,2971232,病院,医療法人社団 新山会 希望の丘八王子病院,医療法人社団　新山会　希望の丘八王子病院,八王子市犬目町６４１番地,True,False,False,,,平成29年 1月 1日,装置種別未確定
13,2971240,病院,医療法人社団 永生会 みなみ野病院,医療法人社団　永生会　みなみ野病院,八王子市みなみ野五丁目３０番３号,True,False,False,,,平成30年 4月 1日,装置種別未確定
13,2971257,病院,医療法人社団 東光会 八王子山王病院,医療法人社団　東光会　八王子山王病院,八王子市中野山王二丁目１５番１６号,True,False,False,,,令和 5年10月 1日,装置種別未確定
13,2971265,病院,ＡＯＩ八王子病院,ＡＯＩ八王子病院,八王子市明神町四丁目２１番４号,True,False,False,,,令和 3年 4月 1日,装置種別未確定
13,3013893,病院,医療法人財団 立川中央病院,医療法人財団　立川中央病院,立川市柴崎町二丁目１７番１４号,True,False,False,,,令和 3年10月 1日,装置種別未確定
13,3015716,病院,国家公務員共済組合連合会 立川病院,国家公務員共済組合連合会　立川病院,立川市錦町四丁目２番２２号,True,False,False,,,令和 8年 6月 1日,装置種別未確定
