facility_id,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
5010042,群馬県立小児医療センター,1,2,1,0,0,0,1,1,,,,,
7010115,独立行政法人国立病院機構渋川医療センター,2,2,2,0,0,2,0,0,,,,,
1210091,（医社）三思会くすの木病院,1,1,1,0,0,1,0,0,,,,,
1210109,光病院,1,1,0,1,0,0,0,1,,,,,
1210117,（医）育生会篠塚病院,1,1,0,1,0,1,0,0,,,,,
1210349,藤岡市国民健康保険鬼石病院,1,0,0,1,0,0,0,0,,,,,
1210414,公立藤岡総合病院,3,2,2,1,0,1,1,0,,,,,
1310024,公立富岡総合病院,2,1,2,0,0,1,0,0,,,,,
1310206,公立七日市病院,1,0,0,1,0,0,0,0,,,,,
1410063,医療法人済恵会 須藤病院,1,1,1,0,0,0,1,0,,,,,
1410097,正田病院,1,0,0,1,0,0,0,0,,,,,
1410154,公立碓氷病院,1,1,1,0,0,0,1,0,,,,,
2010052,松井田病院,1,0,0,1,0,0,0,0,,,,,
2710032,医療法人社団三思会東邦病院,2,1,1,1,0,0,1,0,,,,,
2710099,みどり病院,1,0,0,1,0,0,0,0,,,,,
2810022,療育センターきぼう,1,0,0,1,0,0,0,0,,,,,
1610035,群栄会田中病院,1,0,0,1,0,0,0,0,,,,,
1810072,下仁田厚生病院,1,0,0,1,0,0,0,0,,,,,
2110134,（公社）群馬県医師会群馬リハビリテーション病院,1,0,0,0,1,0,0,0,,,,,
2110159,吾妻さくら病院,1,0,0,1,0,0,0,0,,,,,
2110357,田島病院,1,0,0,1,0,0,0,0,,,,,
2110324,西吾妻福祉病院,1,1,1,0,0,0,1,0,,,,,
2110365,（医）東瞭会櫻井医院,1,0,0,1,0,0,0,0,,,,,
7010099,国立療養所栗生楽泉園,1,0,0,1,0,0,0,0,,,,,
2110076,原町赤十字病院,1,1,1,0,0,0,1,0,,,,,
0510079,（医社）ほたか会群馬パース病院,1,0,1,0,0,0,0,0,,,,,
0610127,角田病院,1,1,0,0,1,0,1,0,,,,,
3010358,（医）海宝会明和セントラル病院,1,0,0,1,0,0,0,0,,,,,
3010077,(医)徹裕会蜂谷病院,1,0,0,1,0,0,0,0,,,,,
3010176,医療法人社団醫光会おうら病院,1,1,0,1,0,0,1,0,,,,,
1012737,さわらび医療福祉センター,1,0,0,1,0,0,0,0,,,,,
0122581,新潟リハビリテーション病院,1,1,0,1,0,0,1,0,,,,,
0122615,厚生連豊栄病院,1,1,1,0,0,0,1,0,,,,,
0121146,社会医療法人　桑名恵風会　桑名病院,1,2,1,0,0,0,2,0,,,,,
0121518,新潟臨港病院,1,1,1,0,0,0,1,0,,,,,
0125642,新潟医療生活協同組合 木戸病院,1,1,1,0,0,0,1,0,,,,,
0114760,とやの中央病院,1,0,0,1,0,0,0,0,,,,,
0115544,東新潟病院,1,1,0,1,0,0,1,0,,,,,
0115668,新潟中央病院,1,1,1,0,0,0,1,0,,,,,
0116062,新潟県立がんセンター新潟病院,4,2,3,1,0,1,1,0,,,,,
0116146,大森内科医院,1,0,0,1,0,0,0,0,,,,,
0124652,新潟市民病院,4,2,3,1,0,1,1,0,,,32363.0,6818.0,VERIFIED_NUMERIC
0124868,猫山宮尾病院,1,1,0,1,0,0,1,0,,,,,
0126368,新潟万代病院,1,1,1,0,0,0,1,0,,,,,
0127002,新潟南病院,1,1,0,1,0,0,1,0,,,,,
8910011,新潟大学医歯学総合病院,7,3,4,3,0,2,1,0,,,28199.0,11555.0,VERIFIED_NUMERIC
0122730,亀田第一病院,1,2,0,1,0,0,2,0,,,,,
0122094,新津医療センター病院,1,1,0,1,0,0,0,1,,,,,
0125865,下越病院,1,1,1,0,0,0,1,0,,,,,
0122243,新潟白根総合病院,1,1,0,1,0,0,1,0,,,,,
0122433,白根大通病院,1,0,0,1,0,0,0,0,,,,,
0117755,聖園病院,1,0,0,1,0,0,0,0,,,,,
0120726,新潟脳外科病院,1,3,1,0,0,1,2,0,,,,,
0120734,済生会新潟病院,2,1,2,0,0,0,1,0,,,,,
0121179,黒埼病院,1,0,0,1,0,0,0,0,,,,,
0124074,信楽園病院,2,1,2,0,0,0,1,0,,,,,
8910029,国立病院機構 西新潟中央病院,1,1,1,0,0,0,1,0,,,,,
0123118,岩室リハビリテーション病院,1,0,0,1,0,0,0,0,,,,,
0123225,潟東けやき病院,1,0,0,0,1,0,0,0,,,,,
0123316,西蒲中央病院,1,0,0,1,0,0,0,0,,,,,
0124835,新潟西蒲メディカルセンター病院,1,0,0,1,0,0,0,0,,,,,
0210881,吉田病院,1,0,1,0,0,0,0,0,,,,,
0212697,立川ﾒﾃﾞｨｶﾙｾﾝﾀｰ悠遊健康村病院,1,0,0,0,1,0,0,0,,,,,
0212721,長岡赤十字病院,3,2,2,1,0,0,2,0,,,,,
