pref_code,facility_code,facility_name,ct_count_medicalinfo,ctannual_medicalinfo,mriannual_medicalinfo,audit_result,medical_info_net_ID,medical_info_kikanCd,medical_info_url,checked_date
08,0510735,医療法人　回生会　藤井内科クリニック,,,,設備欄未掲載・CT/MRI未確認,082208592479,208592479,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208592479&kikanKbn=2&prefCd=08,2026-09-18
08,0610709,下館胃腸科医院,1,,,CT保有台数確認,082208621049,208621049,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208621049&kikanKbn=2&prefCd=08,2026-09-18
08,1010578,坂入医院,1,,,CT保有台数確認,082208791184,208791184,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208791184&kikanKbn=2&prefCd=08,2026-09-18
08,1210277,佐竹南台菜のはなクリニック,1,,,CT保有台数確認,082208530956,208530956,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208530956&kikanKbn=2&prefCd=08,2026-09-18
08,1210467,ひたち太田家庭医療診療所,,,,設備欄未掲載・CT/MRI未確認,082208532370,208532370,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208532370&kikanKbn=2&prefCd=08,2026-09-18
08,1810068,吉原内科,1,,,CT保有台数確認,082208640602,208640602,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208640602&kikanKbn=2&prefCd=08,2026-09-18
08,1911015,医療法人社団啓聖会　鳥越クリニック,,,,設備欄未掲載・CT/MRI未確認,082208582287,208582287,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208582287&kikanKbn=2&prefCd=08,2026-09-18
08,1911049,医療法人社団　ひたちの整形外科,,,,設備欄未掲載・CT/MRI未確認,082208586559,208586559,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208586559&kikanKbn=2&prefCd=08,2026-09-18
08,1911106,セントラル総合クリニック,,,,設備欄あり・CT/MRI記載なし,082208587859,208587859,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208587859&kikanKbn=2&prefCd=08,2026-09-18
08,1911262,牛久神谷内科クリニック,,,,CT設備行あり・保有台数0表示（保有未確定）,082208761026,208761026,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208761026&kikanKbn=2&prefCd=08,2026-09-18
08,2010452,柴原医院,1,,,CT保有台数確認,082208610586,208610586,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208610586&kikanKbn=2&prefCd=08,2026-09-18
08,2011450,医療法人義恵会　こまつ内科クリニック,1,,,CT保有台数確認,082208690160,208690160,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208690160&kikanKbn=2&prefCd=08,2026-09-18
08,2012227,みなのクリニック内科呼吸器科,1,,,CT保有台数確認,082208690867,208690867,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208690867&kikanKbn=2&prefCd=08,2026-09-18
08,2012300,サンシャイン・クリニック,1,,,CT保有台数確認,082208691343,208691343,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208691343&kikanKbn=2&prefCd=08,2026-09-18
08,2012862,おがわ内科,,,,設備欄未掲載・CT/MRI未確認,082208693552,208693552,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208693552&kikanKbn=2&prefCd=08,2026-09-18
08,2012979,医療法人　竹園ファミリークリニック,1,,,CT保有台数確認,082208693712,208693712,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208693712&kikanKbn=2&prefCd=08,2026-09-18
08,2013027,医療法人　成島クリニック,,,,RETRY_INTERNAL_ERROR,082208690287,208690287,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208690287&kikanKbn=2&prefCd=08,2026-09-18
08,2013225,つくばハートクリニック,,,,RETRY_INTERNAL_ERROR,082208695107,208695107,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208695107&kikanKbn=2&prefCd=08,2026-09-18
08,2013274,医療法人水清会　つくば学園クリニック,,,,設備欄未掲載・CT/MRI未確認,082208695208,208695208,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208695208&kikanKbn=2&prefCd=08,2026-09-18
08,2013464,きくち呼吸器内科クリニック,1,,,CT保有台数確認,082208696553,208696553,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208696553&kikanKbn=2&prefCd=08,2026-09-18
08,2013688,医療法人社団　怜弥会　さくら内科・呼吸器内科クリニック,1,,,CT保有台数確認,082208695660,208695660,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208695660&kikanKbn=2&prefCd=08,2026-09-18
08,2013852,がじゅまるクリニックつくば,,,,設備欄未掲載・CT/MRI未確認,082208810083,208810083,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208810083&kikanKbn=2&prefCd=08,2026-09-18
08,2111110,四方医院,,,,RETRY_INTERNAL_ERROR,082208700177,208700177,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208700177&kikanKbn=2&prefCd=08,2026-09-18
08,2111417,医療法人社団秀峰会　つだ中央クリニック,1,,,CT保有台数確認,082208700760,208700760,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208700760&kikanKbn=2&prefCd=08,2026-09-18
08,2111557,ひたちなか海浜クリニック,,,,RETRY_INTERNAL_ERROR,082208701969,208701969,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208701969&kikanKbn=2&prefCd=08,2026-09-18
08,2111730,医療法人聖麗会脳神経外科聖麗メモリアルひたちなか,,,,RETRY_INTERNAL_ERROR,082208704032,208704032,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208704032&kikanKbn=2&prefCd=08,2026-09-18
