pref_code,facility_code,map_type,map_name,standard_name,standard_address,in_equipment_master,CT_confirmed_detail,MRI_confirmed_detail,CT_detail_classes,MRI_detail_classes,standard_latest_start_date,detail_status,medical_info_net_ID,medical_info_net_name,medical_info_net_address,medical_info_match_method,medical_info_detail_url,next_action,medical_info_kikanCd,medical_info_detail_url_corrected,medical_info_audit_status,medical_info_ct_count,medical_info_ctannual,medical_info_mriannual
08,0211946,無床診療所,医療法人聖麗会 聖麗メモリアル高鈴,医療法人聖麗会　聖麗メモリアル高鈴,日立市高鈴町１－１８－１,False,False,False,,,令和 4年 6月 1日,装置種別未確定,082208552363,医療法人聖麗会　聖麗メモリアル高鈴,茨城県日立市高鈴町１－１８－１,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208552363&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208552363,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208552363&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0212233,無床診療所,公益財団法人日立メディカルセンター診療所,公益財団法人日立メディカルセンター診療所,日立市幸町１－１７－１,False,False,False,,,令和 6年11月 1日,装置種別未確定,,,,,,ID再照合,,,,,,
08,0212431,無床診療所,なわ内科・呼吸器クリニック,なわ内科・呼吸器クリニック,日立市金沢町三丁目２０－５,False,False,False,,,令和 5年 7月 1日,装置種別未確定,082208555654,なわ内科・呼吸器クリニック,茨城県日立市金沢町三丁目２０－５,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208555654&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208555654,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208555654&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0310029,無床診療所,株式会社日立製作所 土浦診療健診センタ,株式会社日立製作所　土浦診療健診センタ,土浦市神立東２－２７－８,False,False,False,,,平成28年 4月 1日,装置種別未確定,082208590563,株式会社日立製作所　　土浦診療健診センタ,茨城県土浦市神立東二丁目２７番８号,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208590563&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208590563,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208590563&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0311332,無床診療所,岩本クリニック,岩本クリニック,土浦市上高津４７３,False,False,False,,,令和 5年12月 1日,装置種別未確定,082208591717,岩本クリニック,茨城県土浦市上高津４７３,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208591717&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208591717,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208591717&kikanKbn=2&prefCd=08,設備欄あり・CT/MRI記載なし,,,
08,0311357,無床診療所,医療法人社団 関城会 医療法人社団 関城会 淀縄医院,医療法人社団　関城会　医療法人社団　関城会　淀縄医院,土浦市大町１１－３４,False,False,False,,,令和 3年 8月 1日,装置種別未確定,,,,,,ID再照合,,,,,,
08,0311597,無床診療所,田谷医院,田谷医院,土浦市生田町３－２７,False,False,False,,,平成24年10月 1日,装置種別未確定,,,,,,ID再照合,,,,,,
08,0311639,無床診療所,土浦中央クリニック,土浦中央クリニック,土浦市城北町６ー１８,False,False,False,,,平成28年 9月 1日,装置種別未確定,082208592336,土浦中央クリニック,茨城県土浦市城北町６－１８,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208592336&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208592336,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208592336&kikanKbn=2&prefCd=08,CT保有台数確認,1,,
08,0311894,無床診療所,常陽医院,常陽医院,土浦市城北町１４－４,False,False,False,,,平成24年 4月 1日,装置種別未確定,,,,,,ID再照合,,,,,,
08,0311985,無床診療所,宮﨑クリニック,宮﨑クリニック,土浦市藤沢９６４－２,False,False,False,,,平成24年 4月 1日,装置種別未確定,082208592626,宮﨑クリニック,茨城県土浦市藤沢９６４－２,都道府県+正規化名称一意一致,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=2208592626&kikanKbn=2&prefCd=08,医療情報ネット詳細確認,208592626,https://www.iryou.teikyouseido.mhlw.go.jp/znk-web/juminkanja/S2430/initialize?kikanCd=208592626&kikanKbn=2&prefCd=08,設備欄未確認,,,
