region_code,都道府県,地域,ACTIVITY_v28,ACTIVITY_v29,ACTIVITY差,CURRENT_SUPPLY_v28,CURRENT_SUPPLY_v29,CURRENT_SUPPLY差,ACTIVITY充足率_v28,ACTIVITY充足率_v29,手術型β,手術データ充足率,救急型β,救急データ充足率,入院型β,入院データ充足率,活動プロファイル
34103,広島県,広島市南区,1.6014580069514601,1.6014580069514601,0.0,1.1968862680611305,1.1968862680611305,0.0,1,0.9999999999999999,2.0,1,0.6715266898382004,1,2.0,1,複合型
34102,広島県,広島市東区,-0.4078517469818915,-0.4078517469818915,0.0,-0.07100238210807974,-0.07100238210807974,0.0,0.8666666666666667,0.8599999999999999,-0.29775468152478135,1,-0.6075759436245696,1,-0.346756643888135,0.6,活動量低め
34101,広島県,広島市中区,2.0,2.0,0.0,1.9300111576374865,1.9300111576374865,0.0,0.9777777777777777,0.9766666666666666,2.0,1,2.0,1,2.0,0.9333333333333333,複合型
33681,岡山県,吉備中央町,-0.3644993414582126,-0.3644993414582126,0.0,0.41919740449786397,0.41919740449786397,0.0,0.8333333333333334,0.825,0.6799315076108834,1,-0.8415845637400726,1,-1.0,0.5,手術型
33666,岡山県,美咲町,-1.0,-1.0,0.0,-0.43320394743786883,-0.43320394743786883,0.0,0.6666666666666666,0.6499999999999999,-1.0,1,-1.0,1,,0,活動量低め
33663,岡山県,久米南町,,,,-0.19956912025099813,-0.19956912025099813,0.0,,0.0,,,,,,,データ不足
33643,岡山県,西粟倉村,,,,0.026658231798962498,0.026658231798962498,0.0,,0.0,,,,,,,データ不足
33623,岡山県,奈義町,,,,-0.10266753725876042,-0.10266753725876042,0.0,,0.0,,,,,,,データ不足
33622,岡山県,勝央町,,,,0.8180785696177657,0.8180785696177657,0.0,1,0.0,,0,,0,,0,データ不足
33606,岡山県,鏡野町,2.0,2.0,0.0,1.282484713216624,1.282484713216624,0.0,1,0.9999999999999999,2.0,1,2.0,1,2.0,1,複合型
