pref_code,facility_code,map_type,map_name,map_beds,in_equipment_master
13,1431543,無床診療所,医療法人社団 虹耀会 中野坂上米沢医院,0,False
13,1431683,無床診療所,医療法人社団 水聖会 メディカルスキャニング中野,0,False
13,1432442,無床診療所,弥生ファーストクリニック,0,False
13,1433135,無床診療所,医療法人社団 みやび みやびハート＆ケアクリニック,0,False
13,1433416,無床診療所,熊谷医院,0,False
13,1433457,無床診療所,頭とからだのクリニックかねなか脳神経外科,0,False
13,1433531,無床診療所,医療法人社団 康仁会 協立内科・脳神経内科クリニック,0,False
13,1470038,病院,社会医療法人社団 健友会 中野共立病院,110,True
13,1470061,病院,一般財団法人 自警会 東京警察病院,415,True
13,1470079,病院,医療法人財団 健貢会 総合東京病院,451,True
13,1470087,病院,医療法人社団 徳静会 横畠病院,37,True
13,1514967,病院,医療法人財団 荻窪病院,252,True
13,1514983,病院,社会福祉法人 浴風会 浴風会病院,199,True
13,1532548,無床診療所,河北健診クリニック,0,False
13,1533835,無床診療所,久我山おおすぎ診療所,0,False
13,1534312,無床診療所,篠宮クリニック,0,False
13,1536614,無床診療所,菊池脳神経外科,0,False
13,1537976,無床診療所,医療法人社団 靖和会 林脳神経外科メディカルクリニック,0,False
13,1538586,無床診療所,方南通り脳神経外科クリニック,0,False
13,1538594,無床診療所,佐口脳神経外科・内科クリニック,0,False
13,1539154,無床診療所,久我山クリニック,0,False
13,1570050,病院,医療法人社団 静山会 清川病院,111,True
13,1570480,病院,医療法人社団 回心会 ロイヤル病院,198,True
13,1570886,病院,河北リハビリテーション病院,135,True
13,1570928,病院,一般社団法人 衛生文化協会 城西病院,99,True
13,1570936,病院,医療法人財団 アドベンチスト会 東京衛生アドベンチスト病院,186,True
13,1570944,病院,ニューハート・ワタナベ国際病院,44,True
13,1570977,病院,浜田山病院,48,True
13,1570985,病院,医療法人社団 杏順会 越川病院,46,True
13,1571017,病院,医療法人社団 哺育会 杉並リハビリテーション病院,101,True
13,1571025,病院,医療法人社団 山斗会 山中病院,47,True
13,1611474,病院,医療法人社団 生全会 池袋病院,96,True
13,1617588,病院,医療法人社団 瑞雲会 高田馬場病院,47,True
13,1617836,病院,社会医療法人社団 大成会 長汐病院,199,True
13,1630938,有床診療所,医療法人社団 景星会 大塚北口診療所,9,True
13,1631316,無床診療所,医療法人財団 豊島健康診査センター,0,False
