pref_code,facility_id,facility_name_map,name,ct,mri,ct64,ct16_63,ct_under16,mri3t,mri15_3,mri_under15,latest,update,ctannual,mriannual,annualstatus
14,0105122,社会福祉法人恩賜財団済生会支部神奈川県済生会 横浜市東部病院,社会福祉法人恩賜財団済生会支部神奈川県済生会横浜市東部病院,4,3,4,0,0,1,2,0,,,34171.0,11283.0,VERIFIED_NUMERIC
14,0104166,生麦病院,生麦病院,1,0,0,1,0,0,0,0,,,,,
14,0110221,医療法人社団新東京石心会 横浜石心会病院,医療法人社団新東京石心会 横浜石心会病院,1,1,1,0,0,1,0,0,,,,,
14,0100065,平和病院,平和病院,1,1,0,1,0,0,1,0,,,,,
14,0100362,医療法人社団育成社 佐々木病院,佐々木病院,1,1,0,1,0,0,1,0,,,,,
14,0105197,ふれあい鶴見ホスピタル,ふれあい鶴見ホスピタル,1,1,0,0,1,0,1,0,,,,,
14,0200220,大口東総合病院,大口東総合病院,1,0,1,0,0,0,0,0,,,,,
14,0200071,古川病院,古川病院,1,0,0,1,0,0,0,0,,,,,
14,0204925,新横浜リハビリテーション病院,新横浜リハビリテーション病院,1,0,0,0,1,0,0,0,,,,,
14,0200014,社会福祉法人恩賜財団済生会支部神奈川県済生会 神奈川県病院,社会福祉法人恩賜財団済生会支部神奈川県済生会神奈川県病院,2,1,2,0,0,0,1,0,,,,,
